Trains per day,Total Employees,Total Employees* Not Laid Off,Active,Non Active,Laid Off,Available
23,486,413,466,20,73,393
24,486,428,466,20,58,408
24,486,429,465,21,57,408
24,486,427,462,24,59,403
23,486,423,460,26,63,397
21,486,421,459,27,65,394
26,486,419,462,24,67,395
24,486,431,463,23,55,408
27,486,433,463,23,53,410
25,486,431,458,28,55,403
26,486,434,457,29,52,405
23,486,430,458,28,56,402
22,486,421,460,26,65,395
27,486,406,460,26,80,380
26,486,415,463,23,71,392
21,486,425,463,23,61,402
23,486,426,464,22,60,404
19,486,424,465,21,62,403
26,486,430,465,21,56,409
24,486,421,466,20,65,401
21,486,417,466,20,69,397
28,486,428,466,20,58,408
24,486,417,466,20,69,397
26,486,418,464,22,68,396
5,486,420,465,21,66,399
14,486,422,465,21,64,401
22,486,402,465,21,84,381
27,486,403,462,24,83,379
19,485,400,462,23,85,377
22,485,415,462,23,70,392
21,489,429,463,26,60,403
20,489,420,463,26,69,394
15,489,406,462,27,83,379
15,506,419,479,27,87,392
17,506,424,477,29,82,395
15,506,434,479,27,72,407
23,506,443,479,27,63,416
22,506,447,480,26,59,421
16,506,445,481,25,61,420
25,506,434,484,22,72,412
23,506,417,487,19,89,398
19,506,425,485,21,81,404
23,506,427,485,21,79,406
15,506,432,486,20,74,412
25,511,444,487,24,67,420
23,511,452,488,24,60,428
23,510,448,489,23,64,425
27,510,447,491,22,66,425
20,510,443,489,24,70,419
23,510,437,493,21,77,416
13,510,439,493,21,75,418
18,510,442,494,20,72,422
17,510,450,496,19,65,431
14,510,430,496,20,86,410
16,510,440,497,19,76,421
11,509,439,497,18,76,421
13,509,436,496,19,79,417
6,509,443,498,19,74,424
12,494,436,482,21,67,415
22,494,424,483,21,80,403
16,494,418,484,20,86,398
20,494,429,484,21,76,408
23,494,422,484,21,83,401
18,493,430,487,20,77,410
18,493,425,488,20,83,405
19,493,423,488,20,85,403
22,493,427,489,20,82,407
21,493,432,488,21,77,411
25,493,424,487,22,85,402
18,492,427,485,23,81,404
25,492,431,487,23,79,408
16,492,415,487,23,95,392
25,492,437,490,22,75,415
22,487,436,484,25,73,411
23,487,427,482,27,82,400
23,487,426,482,28,84,398
24,487,423,482,28,87,395
15,487,431,482,28,79,403
19,487,430,483,28,81,402
19,487,429,482,29,82,400
22,487,431,482,29,80,402
23,487,435,484,28,77,407
21,487,440,483,29,72,411
26,487,435,482,30,77,405
22,487,441,484,28,71,413
24,487,445,488,25,68,420
25,487,442,487,26,71,416
22,487,439,490,26,77,413
23,487,434,492,24,82,410
22,487,433,492,24,83,409
25,486,433,491,24,82,409
24,486,435,494,23,82,412
24,486,451,496,22,67,429
20,487,457,496,23,62,434
22,487,467,498,23,54,444
23,487,455,499,23,67,432
30,487,444,501,22,79,422
24,487,444,504,19,79,425
22,487,455,507,18,70,437
19,487,450,507,18,75,432
26,487,450,506,19,75,431
26,487,445,505,20,80,425
23,486,445,505,19,79,426
24,486,442,505,19,82,423
24,487,431,506,19,94,412
23,487,432,506,19,93,413
24,487,434,506,19,91,415
26,487,432,504,21,93,411
24,487,444,505,21,82,423
26,487,437,504,22,89,415
21,490,448,507,22,81,426
25,490,431,506,23,98,408
29,490,445,508,22,85,423
26,490,445,509,21,85,424
18,490,454,510,21,77,433
27,490,448,508,24,84,424
23,490,432,506,26,100,406
22,491,429,507,26,104,403
25,491,433,507,26,100,407
24,491,439,511,25,97,414
25,491,451,513,24,86,427
22,491,458,514,24,80,434
23,491,459,517,22,80,437
25,519,472,545,23,96,449
23,519,465,544,25,104,440
19,519,478,544,25,91,453
22,519,486,547,24,85,462
22,519,499,551,22,74,477
22,519,496,551,23,78,473
24,518,498,551,23,76,475
23,518,488,553,23,88,465
24,518,475,549,27,101,448
25,518,483,551,25,93,458
25,518,495,551,25,81,470
25,518,494,553,25,84,469
22,518,506,554,26,74,480
24,518,503,554,27,78,476
24,518,488,556,25,93,463
25,518,477,555,26,104,451
23,517,485,554,26,95,459
26,517,481,556,24,99,457
21,517,495,558,22,85,473
18,517,491,556,24,89,467
18,517,491,557,23,89,468
19,518,495,559,22,86,473
19,518,485,558,23,96,462
28,518,470,560,21,111,449
20,521,477,565,19,107,458
21,507,475,553,18,96,457
16,507,479,554,17,92,462
24,507,480,555,16,91,464
