Date	Trains per day	Outlier
12/1/2017	22	0
12/2/2017	22	0
12/3/2017	27	0
12/4/2017	21	0
12/5/2017	24	0
12/6/2017	19	0
12/7/2017	18	0
12/8/2017	25	0
12/9/2017	25	0
12/10/2017	22	0
12/11/2017	24	0
12/12/2017	20	0
12/13/2017	23	0
12/14/2017	28	0
12/15/2017	22	0
12/16/2017	26	0
12/17/2017	21	0
12/18/2017	21	0
12/19/2017	23	0
12/20/2017	16	1
12/22/2017	27	0
12/23/2017	22	0
12/24/2017	22	0
12/25/2017	13	1
12/26/2017	20	0
12/27/2017	22	0
12/28/2017	15	1
12/29/2018	28	0
12/30/2018	14	1
12/31/2018	16	1
1/1/2018	26	0
1/2/2018	16	1
1/3/2018	18	1
1/4/2018	17	1
1/5/2018	29	0
1/6/2018	23	0
1/7/2018	23	0
1/8/2018	20	0
1/9/2018	24	0
1/10/2018	23	0
1/11/2018	21	0
1/12/2018	24	0
1/13/2018	23	0
1/14/2018	25	0
1/15/2018	24	0
1/16/2018	21	0
1/17/2018	22	0
1/18/2018	19	0
1/19/2018	28	0
1/20/2018	19	0
1/21/2018	20	0
1/22/2018	23	0
1/23/2018	22	0
1/24/2018	21	0
1/25/2018	22	0
1/26/2018	27	0
1/27/2018	21	0
1/28/2018	25	0
1/29/2018	29	0
1/30/2018	25	0
1/31/2018	25	0
2/1/2018	23	0
2/2/2018	25	0
2/3/2018	24	0
2/4/2018	24	0
2/5/2018	28	0
2/6/2018	24	0
2/7/2018	27	0
2/8/2018	20	0
2/9/2018	25	0
2/10/2018	22	0
2/11/2018	21	0
2/12/2018	25	0
2/13/2018	24	0
2/14/2018	23	0
2/15/2018	20	0
2/16/2018	24	0
2/17/2018	22	0
2/18/2018	23	0
2/19/2018	23	0
2/20/2018	8	1
2/21/2018	16	0
2/22/2018	24	0
2/23/2018	22	0
2/24/2018	21	0
2/25/2018	25	0
2/26/2018	24	0
2/27/2018	26	0
2/28/2018	21	0
3/1/2018	23	0
3/2/2018	24	0
3/3/2018	27	0
3/4/2018	23	0
3/5/2018	20	0
3/6/2018	22	0
3/7/2018	22	0
3/8/2018	24	0
3/9/2018	24	0
3/10/2018	23	0
3/11/2018	25	0
3/12/2018	23	0
3/13/2018	27	0
3/14/2018	21	0
3/15/2018	23	0
3/16/2018	24	0
3/17/2018	22	0
3/18/2018	19	0
3/19/2018	20	0
3/20/2018	24	0
3/21/2018	22	0
3/22/2018	24	0
3/23/2018	20	0
3/24/2018	23	0
3/25/2018	25	0
