Date,E,W,Total,Outlier,Total Employees*,Total Employees* Not Laid Off,Active,Non Active,Laid Off,Available,Available / Total Employees*
12/1/2017,11,10,22,No,505,399,451,54,106,345,68.32%
12/2/2017,9,13,22,No,505,404,452,53,101,351,69.5%
12/3/2017,14,13,27,No,505,405,451,54,100,351,69.5%
12/4/2017,10,11,21,No,505,418,451,54,87,364,72.08%
12/5/2017,13,11,24,No,505,415,451,54,90,361,71.49%
12/6/2017,13,6,19,No,505,404,452,53,101,351,69.5%
12/7/2017,11,7,18,No,505,409,449,56,96,353,69.9%
12/8/2017,13,12,25,No,505,408,450,55,97,353,69.9%
12/9/2017,13,12,25,No,505,421,449,56,84,365,72.28%
12/10/2017,10,12,22,No,505,412,450,55,93,357,70.69%
12/11/2017,13,11,24,No,505,404,451,54,101,350,69.31%
12/12/2017,9,11,20,No,505,410,450,55,95,355,70.3%
12/13/2017,9,14,23,No,505,411,447,58,94,353,69.9%
12/14/2017,17,11,28,No,505,414,446,59,91,355,70.3%
12/15/2017,12,10,22,No,505,403,446,59,102,344,68.12%
12/16/2017,14,12,26,No,505,400,445,60,105,340,67.33%
12/17/2017,11,10,21,No,505,408,447,58,97,350,69.31%
12/18/2017,13,8,21,No,505,394,447,58,111,336,66.53%
12/19/2017,11,12,23,No,505,389,445,60,116,329,65.15%
12/20/2017,9,7,16,SI-grain train hit tree-14 recrews,505,384,448,57,121,327,64.75%
12/21/2017,11,11,21,No,505,390,449,56,115,334,66.14%
12/22/2017,16,11,27,No,505,396,447,58,109,338,66.93%
12/23/2017,10,12,22,No,505,395,448,57,110,338,66.93%
12/24/2017,15,7,22,No,505,378,449,56,127,322,63.76%
12/25/2017,7,6,13,Christmas holds on BNSF and MRL,505,368,449,56,137,312,61.78%
12/26/2017,8,12,20,No,505,372,449,56,133,316,62.57%
12/27/2017,12,10,22,No,505,383,450,55,122,328,64.95%
12/28/2017,8,7,15,SI-xing accident Frenchtown-4 hours-SI Coal train Blossburg 8 hours,505,389,451,54,116,335,66.34%
12/29/2018,17,11,28,No,505,387,449,56,118,331,65.54%
12/30/2018,8,6,14,Winter Storm issues,505,397,449,56,108,341,67.52%
12/31/2018,9,7,16,Winter Storm issues,505,402,450,55,103,347,68.71%
1/1/2018,17,9,26,No,505,415,451,54,90,361,71.49%
1/2/2018,9,7,16,No,505,396,450,55,109,341,67.52%
1/3/2018,8,10,18,No,503,396,447,56,107,340,67.59%
1/4/2018,9,8,17,No,503,400,446,57,103,343,68.19%
1/5/2018,17,12,29,No,503,404,445,58,99,346,68.79%
1/6/2018,11,12,23,No,503,393,444,59,110,334,66.4%
1/7/2018,11,12,23,No,503,401,447,56,102,345,68.59%
1/8/2018,9,11,20,No,503,421,447,56,82,365,72.56%
1/9/2018,10,14,24,No,502,416,444,58,86,358,71.31%
1/10/2018,14,9,23,No,502,411,445,57,91,354,70.52%
1/11/2018,9,12,21,No,502,404,444,58,98,346,68.92%
1/12/2018,14,10,24,No,502,408,444,58,94,350,69.72%
1/13/2018,10,13,23,No,502,414,446,56,88,358,71.31%
1/14/2018,15,10,25,No,502,420,447,55,82,365,72.71%
1/15/2018,13,11,24,No,499,410,445,54,89,356,71.34%
1/16/2018,11,10,21,No,500,410,442,58,90,352,70.4%
1/17/2018,13,9,22,No,498,403,443,55,95,348,69.88%
1/18/2018,10,9,19,No,498,413,440,58,85,355,71.29%
1/19/2018,14,14,28,No,498,416,441,57,82,359,72.09%
1/20/2018,10,9,19,No,498,420,441,57,78,363,72.89%
1/21/2018,8,12,20,No,499,423,443,56,76,367,73.55%
1/22/2018,14,9,23,No,499,424,443,56,75,368,73.75%
1/23/2018,10,12,22,No,499,422,442,57,77,365,73.15%
1/24/2018,10,11,21,No,498,414,441,57,84,357,71.69%
1/25/2018,12,10,22,No,498,419,438,60,79,359,72.09%
1/26/2018,16,11,27,No,498,416,441,57,82,359,72.09%
1/27/2018,8,13,21,No,498,416,441,57,82,359,72.09%
1/28/2018,14,11,25,No,498,425,444,54,73,371,74.5%
1/29/2018,15,14,29,No,498,420,444,54,78,366,73.49%
1/30/2018,13,12,25,No,498,419,444,54,79,365,73.29%
1/31/2018,13,12,25,No,498,405,445,53,93,352,70.68%
2/1/2018,12,11,23,No,498,400,446,52,98,348,69.88%
2/2/2018,13,12,25,No,499,402,446,53,97,349,69.94%
2/3/2018,13,11,24,No,499,396,447,52,103,344,68.94%
2/4/2018,11,13,24,No,499,396,448,51,103,345,69.14%
2/5/2018,16,12,28,No,499,405,448,51,94,354,70.94%
2/6/2018,13,11,24,No,499,412,448,51,87,361,72.34%
2/7/2018,15,12,27,No,499,400,450,49,99,351,70.34%
2/8/2018,13,7,20,No,499,393,450,49,106,344,68.94%
2/9/2018,15,10,25,No,499,394,450,49,105,345,69.14%
2/10/2018,13,9,22,No,499,396,450,49,103,347,69.54%
2/11/2018,11,10,21,No,499,405,451,48,94,357,71.54%
2/12/2018,12,13,25,No,499,409,451,48,90,361,72.34%
2/13/2018,12,12,24,No,499,400,451,48,99,352,70.54%
2/14/2018,11,12,23,No,499,396,454,45,103,351,70.34%
2/15/2018,11,9,20,No,499,398,456,43,101,355,71.14%
2/16/2018,12,12,24,No,498,388,456,42,110,346,69.48%
2/17/2018,11,11,22,No,497,394,454,43,103,351,70.62%
2/18/2018,12,11,23,No,496,405,451,45,91,360,72.58%
2/19/2018,12,11,23,No,496,390,451,45,106,345,69.56%
2/20/2018,4,4,8,No,495,399,449,46,96,353,71.31%
2/21/2018,12,4,16,No,495,406,450,45,89,361,72.93%
2/22/2018,12,12,24,No,495,408,450,45,87,363,73.33%
2/23/2018,11,11,22,No,495,396,449,46,99,350,70.71%
