stuff,"Dir Of Training, Rules and Safety ",Assistant Director TRS,Chief Security & Safety,Manager TRS
1 - Standard Desktop,0,0,0,0
2 - Performance Desktop,0,0,0,0
3 - Standard Laptop,0,0,0,0
4 - Performance Laptop,1,1,1,1
5 - Mobility Laptop 1,0,0,0,0
6 - Mobility Laptop 2 - MS Surface ,0,0,0,0
Standard Docking station,1,1,1,1
Standard Mouse & KB - Wired,0,0,0,0
Standard Single Monitor,0,0,0,0
Standard Dual Monitor,1,1,1,1
Standard Office Printer,1,1,1,1
ShoreTel Desk phone,1,1,1,1
Verizon Cell phone (iPhone),1,1,1,1
Shoretel extension,1,1,1,1
TRIP System (Crew Calling),1,1,1,1
EXpressyards,0,0,0,0
RailInc ,0,0,0,0
Powertrack,1,0,0,0
Careers Web Application,0,0,0,0
MRL PUB,0,0,0,0
MRL ENG,0,0,0,0
MRL B&B,0,0,0,0
MRL RE,0,0,0,0
MRL SCAD,0,0,0,0
AKRENIK,0,0,0,0
MRL SIG,0,0,0,0
Car Hire - R Drive,0,0,0,0
MRL REV,0,0,0,0
MRL ACCT,0,0,0,0
Oracle E-1,0,0,0,0
SAP BI,0,0,0,0
SAP Widgets,0,0,0,0
Front Door Security Software,0,0,0,0
TMDS - View client,1,1,1,1
TMDS - Mobile client,0,0,0,0
TSS/EXtra,0,0,0,0
Revenue (AS400),0,0,0,0
ShowCase,0,0,0,0
Hyperterm,0,0,0,0
M-Files,1,1,1,1
Car Hire,0,0,0,0
Local/UP Billing,0,0,0,0
Demurrage,0,0,0,0
Train Performance,0,0,0,0
MaxAccel,1,1,1,1
Discovery Manager,0,0,0,0
Microsoft Office - Project,0,0,0,0
Microsoft Office - Visio,1,1,1,1
Microsoft - Intune,0,0,0,0
SAP - Live Office,1,1,1,1
PDF Writer (Bluebeam Revue),1,1,1,1
