"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-01","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","35","H,,S","47",",,W","26",",,W","  290",",,W","  280",",,W","16.1",",,W","18.1",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-02","2.24",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","31","H,,S","42",",,W","22",",,W","  260",",,W","   20",",,W","6.9",",,W","8.9",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-03","7.61",",,W",,,"0.18",",,W,2400","1.9",",,W","0.0",",,W","35","H,,S","39",",,W","27",",,W","  330",",,W","  340",",,W","21.0",",,W","25.9",",,W","    1",",,W",,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-04","9.40",",,W",,,"0.01",",,W,2400","0.2",",,W","2.0",",,W","28","H,,S","31",",,W","22",",,W","  260",",,W","  260",",,W","28.0",",,W","32.0",",,W","    1",",,W",,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-05","10.51",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","29","H,,S","34",",,W","21",",,W","  260",",,W","  250",",,W","23.9",",,W","32.0",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-06","2.01",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","22","H,,S","30",",,W","10",",,W","   80",",,W","   80",",,W","8.9",",,W","10.1",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-07","1.12",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","23","H,,S","34",",,W","14",",,W","  280",",,W","  230",",,W","6.0",",,W","6.0",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-08","2.24",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","22","H,,S","34",",,W","12",",,W","  240",",,W","  240",",,W","8.1",",,W","8.1",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-09","2.01",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","20","H,,S","35",",,W","11",",,W","  260",",,W","  240",",,W","6.9",",,W","6.9",",,W","    1",",,W","    1",",,W",,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-10","2.91",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","20","H,,S","33",",,W","12",",,W","   50",",,W","   50",",,W","19.9",",,W","23.0",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-11","1.12",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","21","H,,S","32",",,W","13",",,W","  340",",,W","  340",",,W","8.1",",,W","8.9",",,W","    1",",,W",,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-12","2.91",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","19","H,,S","32",",,W","8",",,W","   30",",,W","   20",",,W","15.0",",,W","19.0",",,W","    1",",,W","    1",",,W",,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-13","2.24",",,W",,,"0.10",",,W,2400","1.0",",,W","0.0","T,,W","24","H,,S","31",",,W","13",",,W","   20",",,W","   10",",,W","10.1",",,W","13.0",",,W","    1",",,W","    1",",,W",,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-14","3.36",",,W"," 1305",",,W","0.00","T,,W,2400","0.0","T,,W","1.2",",,W","19","H,,S","27",",,W","11",",,W","  100",",,W","  100",",,W","15.0",",,W","16.1",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-15","3.13",",,W"," 2010",",,W","0.00","T,,W,2400","0.0","T,,W","1.2",",,W","20","H,,S","35",",,W","16",",,W","   20",",,W","   20",",,W","13.0",",,W","17.0",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-16","5.37",",,W"," 2257",",,W","0.01",",,W,2400","0.0","T,,W","1.2",",,W","30","H,,S","37",",,W","21",",,W","  250",",,W","  260",",,W","14.1",",,W","19.0",",,W","    1",",,W",,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-17","9.40",",,W"," 0547",",,W","0.00","T,,W,2400","0.0","T,,W","1.2",",,W","29","H,,S","36",",,W","19",",,W","  300",",,W","  280",",,W","25.1",",,W","35.1",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-18","8.05",",,W"," 1211",",,W","0.00",",,W,2400","0.0",",,W","0.0","T,,W","35","H,,S","48",",,W","26",",,W","  270",",,W","  260",",,W","25.1",",,W","32.0",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-19","2.24",",,W"," 1332",",,W","0.10",",,W,2400","1.1",",,W","0.0","T,,W","33","H,,S","33",",,W","27",",,W","  340",",,W","  340",",,W","6.9",",,W","8.1",",,W","    1",",,W",,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-20","7.38",",,W"," 0610",",,W","0.28",",,W,2400","2.9",",,W","1.2",",,W","24","H,,S","28",",,W","4",",,W","  350",",,W","  360",",,W","17.0",",,W","23.0",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-21","0.89",",,W"," 1756",",,W","0.00",",,W,2400","0.0",",,W","3.1",",,W","7","H,,S","18",",,W","-4",",,W","  280",",,W","  280",",,W","6.9",",,W","6.9",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-22","8.05",",,W"," 1519",",,W","0.18",",,W,2400","1.5",",,W","3.9",",,W","16","H,,S","21",",,W","9",",,W","  310",",,W","  270",",,W","14.1",",,W","16.1",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-23","4.47",",,W"," 0205",",,W","0.05",",,W,2400","0.5",",,W","3.9",",,W","7","H,,S","10",",,W","-3",",,W","  260",",,W","  270",",,W","10.1",",,W","13.0",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-24","2.01",",,W"," 2158",",,W","0.00",",,W,2400","0.0",",,W","3.9",",,W","0","H,,S","9",",,W","-10",",,W","   40",",,W","   40",",,W","8.1",",,W","8.9",",,W",,,"    1",",,W",,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-25","4.25",",,W"," 1718",",,W","0.06",",,W,2400","0.5",",,W","3.9",",,W","3","H,,S","10",",,W","-3",",,W","  340",",,W","  340",",,W","12.1",",,W","13.0",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-26","2.01",",,W"," 0738",",,W","0.00",",,W,2400","0.0",",,W","3.9",",,W","3","H,,S","8",",,W","-2",",,W","   90",",,W","   40",",,W","6.0",",,W","6.9",",,W",,,,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-27","1.34",",,W"," 2041",",,W","0.04",",,W,2400","0.4",",,W","3.9",",,W","4","H,,S","14",",,W","0",",,W","  360",",,W","   20",",,W","6.9",",,W","6.9",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-28","2.01",",,W"," 2357",",,W","0.01",",,W,2400","0.2",",,W","5.1",",,W","12","H,,S","16",",,W","7",",,W","  350",",,W","  340",",,W","10.1",",,W","13.0",",,W","    1",",,W",,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-29","10.74",",,W"," 0324",",,W","0.64",",,W,2400","9.0",",,W","5.9",",,W","5","H,,S","8",",,W","-5",",,W","  340",",,W","  340",",,W","21.0",",,W","25.1",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-30","7.38",",,W"," 1445",",,W","0.16",",,W,2400","3.8",",,W","9.8",",,W","-4","H,,S","2",",,W","-9",",,W","  350",",,W","  340",",,W","17.0",",,W","19.9",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2017-12-31","0.89",",,W"," 0042",",,W","0.01",",,W,2400","0.2",",,W","9.8",",,W","-8","H,,S","-3",",,W","-13",",,W","  340",",,W","  330",",,W","8.1",",,W","10.1",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2018-01-01","1.12",",,W",,,"0.00",",,W,2400","0.0",",,W","9.1",",,W","-5","H,,S","3",",,W","-13",",,W","   50",",,W","   40",",,W","8.1",",,W","8.9",",,W",,,,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2018-01-02","0.45",",,W",,,"0.00",",,W,2400","0.0",",,W","9.1",",,W","-6","H,,S","3",",,W","-17",",,W","   90",",,W","   90",",,W","6.0",",,W","6.9",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2018-01-03","1.12",",,W",,,"0.00",",,W,2400","0.0",",,W","9.1",",,W","1","H,,S","14",",,W","-6",",,W","  360",",,W","  360",",,W","6.9",",,W","6.9",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2018-01-04","0.45",",,W",,,"0.00",",,W,2400","0.0",",,W","9.1",",,W","4","H,,S","12",",,W","-5",",,W","  270",",,W","  270",",,W","6.9",",,W","6.9",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2018-01-05","1.12",",,W",,,"0.00",",,W,2400","0.0",",,W","9.1",",,W","13","H,,S","24",",,W","11",",,W","  340",",,W","  340",",,W","6.9",",,W","6.9",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2018-01-06","7.61",",,W",,,"0.00",",,W,2400","0.0",",,W","7.1",",,W","25","H,,S","47",",,W","17",",,W","  260",",,W","  260",",,W","25.1",",,W","36.9",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2018-01-07","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W","7.1",",,W","40","H,,S","44",",,W","31",",,W","  260",",,W","  250",",,W","21.9",",,W","25.9",",,W",,,,,,,,,,,,
"USW00024144","HELENA AIRPORT ASOS, MT US","46.6056","-111.9636","1166.8","2018-01-08","2.01",",,W",,,"0.00",",,W,2400","0.0",",,W","5.1",",,W","33","H,,S","39",",,W","24",",,W","  250",",,W","  270",",,W","8.1",",,W","8.9",",,W",,,,,,,,,,,,
