DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT06,WT08,WT09
12/1/2017,3.8,,0,0,0,35,47,26,290,280,16.1,18.1,,,,,,
12/2/2017,2.24,,0,0,0,31,42,22,260,20,6.9,8.9,,,,,,
12/3/2017,7.61,,0.18,1.9,0,35,39,27,330,340,21,25.9,1,,,,,
12/4/2017,9.4,,0.01,0.2,2,28,31,22,260,260,28,32,1,,,,,
12/5/2017,10.51,,0,0,1.2,29,34,21,260,250,23.9,32,,,,,,
12/6/2017,2.01,,0,0,1.2,22,30,10,80,80,8.9,10.1,,,,,,
12/7/2017,1.12,,0,0,1.2,23,34,14,280,230,6,6,,,,,,
12/8/2017,2.24,,0,0,1.2,22,34,12,240,240,8.1,8.1,1,,,,1,
12/9/2017,2.01,,0,0,1.2,20,35,11,260,240,6.9,6.9,1,1,,,1,
12/10/2017,2.91,,0,0,1.2,20,33,12,50,50,19.9,23,1,,,,1,
12/11/2017,1.12,,0,0,1.2,21,32,13,340,340,8.1,8.9,1,,,,,
12/12/2017,2.91,,0,0,1.2,19,32,8,30,20,15,19,1,1,,,1,
12/13/2017,2.24,,0.1,1,0,24,31,13,20,10,10.1,13,1,1,,,,
12/14/2017,3.36,1305,0,0,1.2,19,27,11,100,100,15,16.1,,,,,,
12/15/2017,3.13,2010,0,0,1.2,20,35,16,20,20,13,17,,,,,,
12/16/2017,5.37,2257,0.01,0,1.2,30,37,21,250,260,14.1,19,1,,,,,
12/17/2017,9.4,547,0,0,1.2,29,36,19,300,280,25.1,35.1,,,,,,
12/18/2017,8.05,1211,0,0,0,35,48,26,270,260,25.1,32,,,,,,
12/19/2017,2.24,1332,0.1,1.1,0,33,33,27,340,340,6.9,8.1,1,,,,,
12/20/2017,7.38,610,0.28,2.9,1.2,24,28,4,350,360,17,23,1,,,,1,
12/21/2017,0.89,1756,0,0,3.1,7,18,-4,280,280,6.9,6.9,,,,,,
12/22/2017,8.05,1519,0.18,1.5,3.9,16,21,9,310,270,14.1,16.1,1,,,,1,
12/23/2017,4.47,205,0.05,0.5,3.9,7,10,-3,260,270,10.1,13,1,,,,1,
12/24/2017,2.01,2158,0,0,3.9,0,9,-10,40,40,8.1,8.9,,1,,,1,
12/25/2017,4.25,1718,0.06,0.5,3.9,3,10,-3,340,340,12.1,13,1,,,,1,
12/26/2017,2.01,738,0,0,3.9,3,8,-2,90,40,6,6.9,,,,,1,
12/27/2017,1.34,2041,0.04,0.4,3.9,4,14,0,360,20,6.9,6.9,1,,,,1,
12/28/2017,2.01,2357,0.01,0.2,5.1,12,16,7,350,340,10.1,13,1,,,,,
12/29/2017,10.74,324,0.64,9,5.9,5,8,-5,340,340,21,25.1,,,,,,
12/30/2017,7.38,1445,0.16,3.8,9.8,-4,2,-9,350,340,17,19.9,,,,,,
12/31/2017,0.89,42,0.01,0.2,9.8,-8,-3,-13,340,330,8.1,10.1,,,,,,
1/1/2018,1.12,,0,0,9.1,-5,3,-13,50,40,8.1,8.9,,,,,1,
1/2/2018,0.45,,0,0,9.1,-6,3,-17,90,90,6,6.9,1,,,,1,
1/3/2018,1.12,,0,0,9.1,1,14,-6,360,360,6.9,6.9,1,,,,1,
1/4/2018,0.45,,0,0,9.1,4,12,-5,270,270,6.9,6.9,1,,,,1,
1/5/2018,1.12,,0,0,9.1,13,24,11,340,340,6.9,6.9,1,,,,1,
1/6/2018,7.61,,0,0,7.1,25,47,17,260,260,25.1,36.9,1,,,,1,
1/7/2018,5.82,,0,0,7.1,40,44,31,260,250,21.9,25.9,,,,,,
1/8/2018,2.01,,0,0,5.1,33,39,24,250,270,8.1,8.9,,,,,,
1/9/2018,2.91,,0,0,5.1,28,39,20,360,360,16.1,18.1,,,,,,
1/10/2018,7.16,,0.08,1.6,5.9,22,33,7,340,310,19.9,23,1,,,,1,
1/11/2018,1.79,,0.11,1.5,5.9,8,12,2,340,350,10.1,12.1,1,,,,1,
1/12/2018,2.01,,0.03,0.3,7.9,10,18,7,350,350,8.9,11,1,,,,,
1/13/2018,8.28,,0,0,7.9,26,45,16,250,270,29.1,36.9,1,,,1,,
1/14/2018,2.91,,0,0,5.9,32,34,20,260,260,10.1,10.1,,,,,,
1/15/2018,2.68,,0,0,5.1,30,31,14,270,270,8.1,8.9,,,,,,
1/16/2018,1.34,,0,0,5.1,14,24,3,160,260,6.9,8.1,1,1,,,,
1/17/2018,2.68,,0,0,5.1,17,29,9,230,350,8.9,12.1,1,,,,1,
1/18/2018,3.58,,0.1,0,5.1,27,44,18,320,270,16.1,17,1,,,,,
1/19/2018,6.71,,0.01,0,5.1,36,38,28,280,280,19.9,25.9,1,1,,,,
1/20/2018,5.59,,0,0,5.1,30,37,20,270,260,18.1,21.9,,,,,,
1/21/2018,2.01,,0,0,5.1,24,31,9,290,290,8.9,10.1,,,,,,
1/22/2018,4.47,,0,0,5.1,23,36,16,330,320,16.1,21,,,,,,
1/23/2018,7.16,,0,0,5.1,30,32,20,270,270,15,21,,,,,,
1/24/2018,7.38,,0,0,5.1,26,45,17,190,190,25.9,36,,,,,,
1/25/2018,7.16,,0,0,5.1,36,42,21,270,270,18.1,21.9,,,,,,
1/26/2018,5.59,,0,0,5.1,28,33,17,270,260,23,30,1,,,,1,
1/27/2018,2.01,,0,0,5.1,22,37,13,270,230,8.1,10.1,,,,,,
1/28/2018,4.03,,0,0,5.1,30,38,23,10,280,16.1,21,,,,,,
1/29/2018,2.24,,0,0,5.1,31,42,24,240,250,13,15,,,,,,
1/30/2018,12.75,,0.01,0,3.1,38,51,30,250,240,32,42.1,1,,,,,
1/31/2018,13.65,,0,0,3.1,32,35,23,260,250,30,38,,,,,,
2/1/2018,3.8,,0,0,3.1,26,30,15,260,230,14.1,17,,,,,,
2/2/2018,7.38,,0,0,3.1,31,49,23,250,250,44.1,53.9,,,,,,
2/3/2018,12.97,,0.22,1.5,2,35,45,1,260,290,28,36,1,,,,,
2/4/2018,2.01,,0.16,2.5,3.1,5,19,0,280,290,14.1,18.1,1,,,1,1,
2/5/2018,6.04,,0.14,0.8,3.9,15,21,13,360,360,19.9,23,1,,,,,
2/6/2018,4.03,,0.08,0.8,3.9,17,25,10,350,340,16.1,19,1,,,,1,
2/7/2018,5.59,,0,0,3.9,21,46,16,270,260,21.9,28,,,,,,
2/8/2018,13.2,,0.05,0.5,2,39,48,4,260,300,30,40,1,,,,1,
2/9/2018,4.25,,0.19,2,3.1,5,9,1,280,270,14.1,16.1,1,,,,1,
2/10/2018,1.34,,0,0,3.1,4,14,-7,320,320,6.9,8.1,1,,,,1,
2/11/2018,8.05,,0.01,0.2,3.1,9,21,3,340,330,21.9,25.9,,,,,1,
2/12/2018,5.14,,0,0,2,4,12,-5,320,320,15,18.1,,,,,1,
2/13/2018,3.36,,0,0,2,5,29,-6,270,290,10.1,12.1,,,,,,
2/14/2018,7.16,,0.1,1.3,2,25,44,13,360,360,29.1,35.1,1,,,,,
