Date,Total Employees,Total Employees Not Laid Off,Active,Non Active,Laid Off,PlaceBoardCount,Available,Available Percent,TPD Revenue,TPD Bins,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT06,WT08,WT09
12/1/2017,498,405,444,54,93,,351,70.48%,15,Bad,3.8,,0,0,0,35,47,26,290,280,16.1,18.1,,,,,,
12/2/2017,498,410,445,53,88,1,357,71.49%,19,Good,2.24,,0,0,0,31,42,22,260,20,6.9,8.9,,,,,,
12/3/2017,498,408,444,54,90,2,354,70.68%,20,Good,7.61,,0.18,1.9,0,35,39,27,330,340,21,25.9,1,,,,,
12/4/2017,498,424,444,54,74,1,370,74.1%,30,Great,9.4,,0.01,0.2,2,28,31,22,260,260,28,32,1,,,,,
12/5/2017,498,418,444,54,80,4,364,72.29%,22,Good,10.51,,0,0,1.2,29,34,21,260,250,23.9,32,,,,,,
12/6/2017,498,410,445,53,88,,357,71.69%,20,Good,2.01,,0,0,1.2,22,30,10,80,80,8.9,10.1,,,,,,
12/7/2017,498,415,442,56,83,3,359,71.49%,19,Good,1.12,,0,0,1.2,23,34,14,280,230,6,6,,,,,,
12/8/2017,498,416,443,55,82,2,361,72.09%,22,Good,2.24,,0,0,1.2,22,34,12,240,240,8.1,8.1,1,,,,1,
12/9/2017,498,431,442,56,67,,375,75.3%,27,Great,2.01,,0,0,1.2,20,35,11,260,240,6.9,6.9,1,1,,,1,
12/10/2017,498,420,443,55,78,3,365,72.69%,21,Good,2.91,,0,0,1.2,20,33,12,50,50,19.9,23,1,,,,1,
12/11/2017,498,415,444,54,83,6,361,71.29%,23,Great,1.12,,0,0,1.2,21,32,13,340,340,8.1,8.9,1,,,,,
12/12/2017,498,423,443,55,75,10,368,71.89%,21,Good,2.91,,0,0,1.2,19,32,8,30,20,15,19,1,1,,,1,
12/13/2017,498,425,440,58,73,4,367,72.89%,24,Great,2.24,,0.1,1,0,24,31,13,20,10,10.1,13,1,1,,,,
12/14/2017,498,432,439,59,66,6,373,73.69%,23,Great,3.36,1305,0,0,1.2,19,27,11,100,100,15,16.1,,,,,,
12/15/2017,498,424,439,59,74,8,365,71.69%,24,Great,3.13,2010,0,0,1.2,20,35,16,20,20,13,17,,,,,,
12/16/2017,498,421,438,60,77,6,361,71.29%,23,Great,5.37,2257,0.01,0,1.2,30,37,21,250,260,14.1,19,1,,,,,
12/17/2017,498,430,440,58,68,8,372,73.09%,24,Great,9.4,547,0,0,1.2,29,36,19,300,280,25.1,35.1,,,,,,
12/18/2017,498,416,440,58,82,4,358,71.08%,24,Great,8.05,1211,0,0,0,35,48,26,270,260,25.1,32,,,,,,
12/19/2017,498,411,438,60,87,2,351,70.08%,24,Great,2.24,1332,0.1,1.1,0,33,33,27,340,340,6.9,8.1,1,,,,,
