Date,TPD Revenue,TPD Tobin
11/21/2018,21,14
11/22/2018,19,22
11/23/2018,22,22
11/24/2018,17,20
11/25/2018,23,19
11/26/2018,17,21
11/27/2018,26,21
11/28/2018,19,23
11/29/2018,25,23
12/1/2018,21,19
12/2/2018,19,22
12/3/2018,17,21
12/4/2018,20,19
12/5/2018,18,15
12/6/2018,13,23
12/7/2018,19,22
12/8/2018,28,28
12/9/2018,24,25
12/10/2018,17,21
12/11/2018,16,24
12/12/2018,25,22
12/13/2018,25,24
12/14/2018,23,26
12/15/2018,22,23
12/16/2018,21,25
12/17/2018,23,22
12/18/2018,19,22
12/19/2018,20,22
12/20/2018,23,24
12/21/2018,20,23
12/22/2018,25,20
12/23/2018,15,19
12/24/2018,17,25
12/25/2018,18,18
12/26/2018,21,19
12/27/2018,20,15
12/28/2018,15,19
12/29/2018,16,17
12/30/2018,21,23
1/1/2019,21,25
1/2/2019,21,17
1/3/2019,18,22
1/4/2019,20,26
1/5/2019,21,23
1/6/2019,26,23
1/7/2019,23,24
1/8/2019,23,24
1/9/2019,24,24
1/10/2019,22,23
1/11/2019,21,21
1/12/2019,22,26
1/13/2019,26,24
1/14/2019,21,27
1/15/2019,25,25
1/16/2019,17,26
1/17/2019,26,23
1/18/2019,25,22
1/19/2019,24,29
1/20/2019,22,26
1/21/2019,20,21
1/22/2019,26,23
1/23/2019,18,19
1/24/2019,16,26
1/25/2019,28,24
1/26/2019,17,21
1/27/2019,25,28
1/28/2019,27,24
1/29/2019,21,26
1/30/2019,7,5
1/31/2019,12,14
2/1/2019,24,22
2/2/2019,21,27
2/3/2019,20,19
2/4/2019,21,22
2/5/2019,17,22
2/6/2019,24,20
2/7/2019,13,17
2/8/2019,16,15
2/9/2019,16,17
2/10/2019,15,15
2/11/2019,17,23
2/12/2019,23,22
2/13/2019,15,16
2/14/2019,16,25
2/15/2019,21,23
2/16/2019,28,19
2/17/2019,20,23
2/18/2019,17,15
2/19/2019,13,25
2/20/2019,25,23
2/21/2019,23,23
2/22/2019,23,27
2/23/2019,21,20
2/24/2019,23,23
2/25/2019,15,13
2/26/2019,11,18
2/27/2019,16,17
2/28/2019,14,14
3/1/2019,19,16
3/2/2019,11,11
3/3/2019,12,13
3/4/2019,8,6
3/5/2019,8,12
3/6/2019,19,22
3/7/2019,15,16
3/8/2019,19,20
3/9/2019,18,23
3/10/2019,20,18
3/11/2019,19,18
3/12/2019,15,19
3/13/2019,17,22
3/14/2019,22,22
3/15/2019,19,25
3/16/2019,22,18
3/17/2019,17,25
3/18/2019,25,16
3/19/2019,19,25
3/20/2019,18,22
3/21/2019,28,23
3/22/2019,18,23
3/23/2019,18,24
3/24/2019,18,15
3/25/2019,20,19
3/26/2019,8,19
3/27/2019,24,22
3/28/2019,22,23
3/29/2019,17,21
3/30/2019,25,26
3/31/2019,22,22
4/1/2019,21,26
4/2/2019,19,25
4/3/2019,24,22
4/4/2019,18,23
4/5/2019,26,22
4/6/2019,18,25
4/7/2019,25,24
4/8/2019,21,24
4/9/2019,20,20
4/10/2019,22,22
4/11/2019,21,23
4/12/2019,18,30
4/13/2019,25,24
4/14/2019,24,22
4/15/2019,17,19
4/16/2019,17,26
4/17/2019,29,26
4/18/2019,16,23
4/19/2019,25,24
4/20/2019,20,24
4/21/2019,24,23
4/22/2019,22,24
4/23/2019,20,26
4/24/2019,23,24
4/25/2019,28,26
4/26/2019,25,21
4/27/2019,15,25
4/28/2019,21,29
4/29/2019,25,26
4/30/2019,18,18
5/1/2019,22,27
5/2/2019,21,23
5/3/2019,28,22
5/4/2019,19,25
5/5/2019,24,24
5/6/2019,20,25
5/7/2019,23,22
5/8/2019,24,23
5/9/2019,22,25
5/10/2019,20,23
5/11/2019,23,19
5/12/2019,18,22
5/13/2019,20,22
5/14/2019,19,22
5/15/2019,25,24
5/16/2019,19,23
5/17/2019,19,24
5/18/2019,24,25
5/19/2019,23,25
5/20/2019,18,25
5/21/2019,26,22
5/22/2019,24,24
5/23/2019,18,24
5/24/2019,22,25
5/25/2019,24,23
5/26/2019,23,26
5/27/2019,19,21
5/28/2019,17,18
5/29/2019,18,18
5/30/2019,21,19
5/31/2019,15,19
