SegmentID,SegmentType,Symbol,StationID,Code,Arrival,Departure,Minutes
1700350,I,MLAUMIS130,70,JENS  ,8/1/17 15:06,8/1/17 15:08,2
1700351,I,MLAUMIS130,76,NIMROD,8/1/17 15:45,8/1/17 15:52,7
1700357,I,MLAUMIS130,73,LOUISV,7/31/17 1:15,7/31/17 1:18,3
1700367,I,MLAUMIS130,48,ELLIST,8/1/17 12:25,8/1/17 12:51,26
1700369,I,MLAUMIS130,56,CLRKST,7/30/17 23:21,7/30/17 23:28,7
1700372,I,MLAUMIS130,63,ELTON ,7/30/17 19:18,7/30/17 19:21,3
1700377,I,MLAUMIS130,34,TOSTON,7/31/17 0:00,7/31/17 0:12,12
1700378,I,MLAUMIS130,66,GREYCL,7/30/17 18:25,7/30/17 18:29,4
1700387,I,MLAUMIS130,22,GARRMT,8/1/17 13:23,8/1/17 14:54,91
1700389,I,MLAUMIS130,18,BIGTIM,7/30/17 18:47,7/30/17 18:49,2
1700394,I,MLAUMIS130,86,WINSTN,7/31/17 0:48,7/31/17 1:03,15
1700406,I,MLAUMIS130,40,LOGAMT,7/30/17 22:50,7/30/17 22:57,7
1700407,I,MLAUMIS130,47,BLOSSB,8/1/17 11:57,8/1/17 12:12,15
1700412,I,MLAUMIS130,72,LOMBRD,7/30/17 23:39,7/30/17 23:43,4
1700417,I,MLAUMIS130,14,REEPTM,7/30/17 18:02,7/30/17 18:04,2
1700430,I,MLAUMIS130,77,QUEBEC,7/30/17 18:10,7/30/17 18:12,2
1700431,I,MLAUMIS130,51,AVON  ,8/1/17 13:02,8/1/17 13:05,3
1700436,I,MLAUMIS130,53,BONNER,8/1/17 16:21,8/1/17 16:25,4
1700439,I,MLAUMIS130,21,DRUMMT,8/1/17 15:17,8/1/17 15:20,3
1700443,I,MLAUMIS130,54,CARNEY,7/30/17 19:03,7/30/17 19:05,2
1700444,I,MLAUMIS130,23,TOWNMT,7/31/17 0:23,7/31/17 0:26,3
1700477,I,MLAUMIS130,17,MANHMT,7/30/17 22:44,7/30/17 22:45,1
1700478,I,MLAUMIS130,50,AUSTIN,8/1/17 11:23,8/1/17 11:39,16
1700480,I,MLAUMIS130,55,CLINTN,8/1/17 16:07,8/1/17 16:10,3
1700481,I,MLAUMIS130,89,WSTEND,7/30/17 21:50,7/30/17 21:55,5
1700483,I,MLAUMIS130,52,BEARMT,8/1/17 15:30,8/1/17 15:34,4
1700496,I,MLAUMIS130,15,BELGRA,7/30/17 22:25,7/30/17 22:31,6
1700497,I,MLAUMIS130,75,MUIR  ,7/30/17 21:38,7/30/17 21:46,8
1705957,I,MLAUMIS101,16,BOZEMA,8/1/17 10:14,8/1/17 10:17,3
1705961,I,MLAUMIS101,72,LOMBRD,8/1/17 16:01,8/1/17 16:15,14
1705964,I,MLAUMIS101,47,BLOSSB,8/2/17 1:56,8/2/17 2:00,4
1705971,I,MLAUMIS101,40,LOGAMT,8/1/17 13:06,8/1/17 14:38,92
1705978,I,MLAUMIS101,78,RAPIDS,8/1/17 4:44,8/1/17 4:47,3
1705989,I,MLAUMIS101,76,NIMROD,8/2/17 8:17,8/2/17 8:19,2
1705992,I,MLAUMIS101,70,JENS  ,8/2/17 7:34,8/2/17 7:37,3
1705997,I,MLAUMIS101,73,LOUISV,8/1/17 17:37,8/1/17 17:40,3
1706003,I,MLAUMIS101,75,MUIR  ,8/1/17 9:37,8/1/17 9:41,4
1706010,I,MLAUMIS101,52,BEARMT,8/2/17 8:02,8/2/17 8:06,4
1706015,I,MLAUMIS101,15,BELGRA,8/1/17 10:29,8/1/17 11:31,62
1706024,I,MLAUMIS101,22,GARRMT,8/2/17 3:16,8/2/17 7:19,243
1706025,I,MLAUMIS101,18,BIGTIM,8/1/17 6:36,8/1/17 6:39,3
1706028,I,MLAUMIS101,86,WINSTN,8/1/17 17:19,8/1/17 17:24,5
1706032,I,MLAUMIS101,14,REEPTM,8/1/17 5:43,8/1/17 5:48,5
1706033,I,MLAUMIS101,21,DRUMMT,8/2/17 7:47,8/2/17 7:50,3
1706038,I,MLAUMIS101,54,CARNEY,8/1/17 6:54,8/1/17 6:57,3
1706040,I,MLAUMIS101,23,TOWNMT,8/1/17 16:46,8/1/17 16:51,5
1706068,I,MLAUMIS101,50,AUSTIN,8/2/17 1:29,8/2/17 1:42,13
1706069,I,MLAUMIS101,12,COLUMT,8/1/17 4:57,8/1/17 5:02,5
1706070,I,MLAUMIS101,55,CLINTN,8/2/17 8:36,8/2/17 8:57,21
1706071,I,MLAUMIS101,17,MANHMT,8/1/17 11:48,8/1/17 11:52,4
1706072,I,MLAUMIS101,89,WSTEND,8/1/17 9:52,8/1/17 9:58,6
1706083,I,MLAUMIS101,63,ELTON ,8/1/17 7:13,8/1/17 7:16,3
1706084,I,MLAUMIS101,66,GREYCL,8/1/17 6:14,8/1/17 6:19,5
1706086,I,MLAUMIS101,34,TOSTON,8/1/17 16:32,8/1/17 16:35,3
1706087,I,MLAUMIS101,56,CLRKST,8/1/17 15:21,8/1/17 15:49,28
1706088,I,MLAUMIS101,48,ELLIST,8/2/17 2:15,8/2/17 2:42,27
1706108,I,MLAUMIS101,77,QUEBEC,8/1/17 5:56,8/1/17 5:59,3
1706109,I,MLAUMIS101,51,AVON  ,8/2/17 2:54,8/2/17 2:56,2
1706110,I,MLAUMIS101,13,CRAVER,8/1/17 5:14,8/1/17 5:30,16
1706114,I,MLAUMIS101,53,BONNER,8/2/17 9:11,8/2/17 9:16,5
1707172,I,MLAUMIS102,70,JENS  ,8/4/17 17:15,8/4/17 17:36,21
1707185,I,MLAUMIS102,76,NIMROD,8/4/17 18:32,8/4/17 18:43,11
1707186,I,MLAUMIS102,73,LOUISV,8/4/17 6:37,8/4/17 10:09,212
1707195,I,MLAUMIS102,15,BELGRA,8/4/17 3:41,8/4/17 3:44,3
1707204,I,MLAUMIS102,75,MUIR  ,8/4/17 2:44,8/4/17 3:00,16
1707206,I,MLAUMIS102,52,BEARMT,8/4/17 18:09,8/4/17 18:21,12
1707210,I,MLAUMIS102,22,GARRMT,8/4/17 15:43,8/4/17 17:05,82
1707220,I,MLAUMIS102,18,BIGTIM,8/3/17 23:21,8/3/17 23:24,3
1707222,I,MLAUMIS102,86,WINSTN,8/4/17 6:21,8/4/17 6:25,4
1707240,I,MLAUMIS102,54,CARNEY,8/3/17 23:32,8/3/17 23:34,2
1707243,I,MLAUMIS102,23,TOWNMT,8/4/17 5:51,8/4/17 5:54,3
1707244,I,MLAUMIS102,21,DRUMMT,8/4/17 17:46,8/4/17 17:58,12
1707245,I,MLAUMIS102,47,BLOSSB,8/4/17 14:51,8/4/17 14:56,5
1707246,I,MLAUMIS102,72,LOMBRD,8/4/17 5:19,8/4/17 5:23,4
1707248,I,MLAUMIS102,14,REEPTM,8/3/17 22:41,8/3/17 22:43,2
1707252,I,MLAUMIS102,40,LOGAMT,8/4/17 4:03,8/4/17 4:41,38
1707253,I,MLAUMIS102,78,RAPIDS,8/3/17 20:28,8/3/17 20:29,1
1707254,I,MLAUMIS102,16,BOZEMA,8/4/17 3:26,8/4/17 3:31,5
1707272,I,MLAUMIS102,17,MANHMT,8/4/17 3:57,8/4/17 3:58,1
1707273,I,MLAUMIS102,89,WSTEND,8/4/17 3:03,8/4/17 3:09,6
1707275,I,MLAUMIS102,50,AUSTIN,8/4/17 13:30,8/4/17 14:38,68
1707277,I,MLAUMIS102,55,CLINTN,8/4/17 18:57,8/4/17 18:59,2
1707278,I,MLAUMIS102,12,COLUMT,8/3/17 20:35,8/3/17 22:20,105
1707287,I,MLAUMIS102,56,CLRKST,8/4/17 5:06,8/4/17 5:08,2
1707288,I,MLAUMIS102,48,ELLIST,8/4/17 15:06,8/4/17 15:07,1
1707291,I,MLAUMIS102,34,TOSTON,8/4/17 5:39,8/4/17 5:42,3
1707292,I,MLAUMIS102,66,GREYCL,8/3/17 23:08,8/3/17 23:11,3
1707303,I,MLAUMIS102,63,ELTON ,8/3/17 23:44,8/3/17 23:46,2
1707307,I,MLAUMIS102,13,CRAVER,8/3/17 22:31,8/3/17 22:33,2
1707309,I,MLAUMIS102,77,QUEBEC,8/3/17 22:48,8/3/17 22:51,3
1707313,I,MLAUMIS102,51,AVON  ,8/4/17 15:14,8/4/17 15:16,2
1707316,I,MLAUMIS102,53,BONNER,8/4/17 19:08,8/4/17 19:11,3
1711914,I,USPOMIS501,43,CHILDS,8/1/17 14:46,8/1/17 14:48,2
1711916,I,USPOMIS501,46,HERON ,8/1/17 14:00,8/1/17 14:02,2
1711922,I,USPOMIS501,30,SUPEMT,8/1/17 16:50,8/2/17 14:38,1308
1711931,I,USPOMIS501,49,LOTHRO,8/3/17 1:19,8/3/17 1:22,3
1711934,I,USPOMIS501,65,FRENCH,8/3/17 1:41,8/3/17 1:44,3
1711935,I,USPOMIS501,33,WESTFA,8/1/17 17:01,8/2/17 15:26,1345
1711938,I,USPOMIS501,57,COLBY ,8/1/17 13:46,8/1/17 13:49,3
1711941,I,USPOMIS501,7,PARAMT,8/1/17 15:48,8/1/17 15:51,3
1711949,I,USPOMIS501,83,TOOLE ,8/1/17 16:22,8/1/17 16:24,2
1711953,I,USPOMIS501,60,EDDY  ,8/1/17 15:20,8/1/17 15:23,3
1711954,I,USPOMIS501,36,HOPEID,8/1/17 13:31,8/1/17 13:33,2
1711955,I,USPOMIS501,79,RIVLET,8/1/17 18:02,8/3/17 0:52,1850
1711961,I,USPOMIS501,26,NOXON ,8/1/17 14:13,8/1/17 14:16,3
1711965,I,USPOMIS501,27,PLAIMT,8/1/17 15:39,8/1/17 15:42,3
1711970,I,USPOMIS501,31,THOFAL,8/1/17 15:03,8/1/17 15:06,3
1711975,I,USPOMIS501,84,TUSCOR,8/1/17 14:27,8/1/17 14:29,2
1711983,I,MLAUMIS104,18,BIGTIM,8/4/17 19:08,8/4/17 19:11,3
1711989,I,MLAUMIS104,86,WINSTN,8/5/17 3:05,8/5/17 3:14,9
1711990,I,MLAUMIS104,22,GARRMT,8/5/17 14:21,8/5/17 15:19,58
1711993,I,MLAUMIS104,52,BEARMT,8/5/17 16:21,8/5/17 16:24,3
1711997,I,MLAUMIS104,72,LOMBRD,8/5/17 1:43,8/5/17 1:49,6
1712006,I,MLAUMIS104,47,BLOSSB,8/5/17 13:08,8/5/17 13:18,10
1712009,I,MLAUMIS104,14,REEPTM,8/4/17 18:26,8/4/17 18:29,3
1712016,I,MLAUMIS104,40,LOGAMT,8/4/17 22:51,8/5/17 0:47,116
1712023,I,MLAUMIS104,77,QUEBEC,8/4/17 18:35,8/4/17 18:37,2
1712027,I,MLAUMIS104,23,TOWNMT,8/5/17 2:18,8/5/17 2:21,3
1712029,I,MLAUMIS104,13,CRAVER,8/4/17 18:15,8/4/17 18:17,2
1712030,I,MLAUMIS104,51,AVON  ,8/5/17 14:01,8/5/17 14:03,2
1712032,I,MLAUMIS104,54,CARNEY,8/4/17 19:19,8/4/17 19:22,3
1712047,I,MLAUMIS104,75,MUIR  ,8/4/17 21:26,8/4/17 21:33,7
1712056,I,MLAUMIS104,53,BONNER,8/5/17 17:20,8/5/17 17:31,11
1712057,I,MLAUMIS104,15,BELGRA,8/4/17 22:19,8/4/17 22:22,3
1712068,I,MLAUMIS104,12,COLUMT,8/4/17 18:04,8/4/17 18:06,2
1712070,I,MLAUMIS104,56,CLRKST,8/5/17 1:15,8/5/17 1:31,16
1712071,I,MLAUMIS104,17,MANHMT,8/4/17 22:38,8/4/17 22:40,2
1712072,I,MLAUMIS104,55,CLINTN,8/5/17 16:54,8/5/17 17:05,11
1712076,I,MLAUMIS104,50,AUSTIN,8/5/17 12:35,8/5/17 12:51,16
1712083,I,MLAUMIS104,66,GREYCL,8/4/17 18:51,8/4/17 18:55,4
1712084,I,MLAUMIS104,34,TOSTON,8/5/17 2:06,8/5/17 2:09,3
1712085,I,MLAUMIS104,63,ELTON ,8/4/17 19:34,8/4/17 19:36,2
1712089,I,MLAUMIS104,48,ELLIST,8/5/17 13:32,8/5/17 13:36,4
1712100,I,MLAUMIS104,73,LOUISV,8/5/17 3:26,8/5/17 3:28,2
1712102,I,MLAUMIS104,70,JENS  ,8/5/17 15:34,8/5/17 15:56,22
1712111,I,MLAUMIS104,76,NIMROD,8/5/17 16:34,8/5/17 16:36,2
1712113,I,MLAUMIS104,78,RAPIDS,8/4/17 17:54,8/4/17 17:57,3
1712116,I,MLAUMIS104,16,BOZEMA,8/4/17 22:01,8/4/17 22:07,6
1712129,I,MLAUMIS104,89,WSTEND,8/4/17 21:37,8/4/17 21:41,4
1712133,I,MLAUMIS104,21,DRUMMT,8/5/17 16:08,8/5/17 16:11,3
1722182,I,MLAUMIS108,21,DRUMMT,8/8/17 14:30,8/8/17 14:32,2
1722193,I,MLAUMIS108,54,CARNEY,8/7/17 22:35,8/7/17 22:38,3
1722199,I,MLAUMIS108,23,TOWNMT,8/8/17 4:11,8/8/17 4:14,3
1722201,I,MLAUMIS108,77,QUEBEC,8/7/17 21:47,8/7/17 21:50,3
1722206,I,MLAUMIS108,51,AVON  ,8/8/17 11:33,8/8/17 11:38,5
1722216,I,MLAUMIS108,13,CRAVER,8/7/17 21:01,8/7/17 21:26,25
1722221,I,MLAUMIS108,34,TOSTON,8/8/17 3:59,8/8/17 4:02,3
1722225,I,MLAUMIS108,63,ELTON ,8/7/17 22:51,8/7/17 22:54,3
1722227,I,MLAUMIS108,48,ELLIST,8/8/17 11:09,8/8/17 11:23,14
1722231,I,MLAUMIS108,66,GREYCL,8/7/17 22:04,8/7/17 22:08,4
1722236,I,MLAUMIS108,55,CLINTN,8/8/17 15:12,8/8/17 15:15,3
1722238,I,MLAUMIS108,17,MANHMT,8/8/17 2:27,8/8/17 2:28,1
1722245,I,MLAUMIS108,50,AUSTIN,8/8/17 9:57,8/8/17 10:31,34
1722246,I,MLAUMIS108,89,WSTEND,8/8/17 1:19,8/8/17 1:23,4
1722248,I,MLAUMIS108,56,CLRKST,8/8/17 3:17,8/8/17 3:28,11
1722255,I,MLAUMIS108,14,REEPTM,8/7/17 21:38,8/7/17 21:41,3
1722257,I,MLAUMIS108,47,BLOSSB,8/8/17 10:46,8/8/17 10:50,4
1722258,I,MLAUMIS108,40,LOGAMT,8/8/17 2:33,8/8/17 2:51,18
1722259,I,MLAUMIS108,72,LOMBRD,8/8/17 3:39,8/8/17 3:43,4
1722260,I,MLAUMIS108,16,BOZEMA,8/8/17 1:40,8/8/17 1:55,15
1722290,I,MLAUMIS108,22,GARRMT,8/8/17 12:04,8/8/17 14:06,122
1722291,I,MLAUMIS108,18,BIGTIM,8/7/17 22:22,8/7/17 22:26,4
1722292,I,MLAUMIS108,86,WINSTN,8/8/17 4:46,8/8/17 4:52,6
1722300,I,MLAUMIS108,75,MUIR  ,8/8/17 1:08,8/8/17 1:15,7
1722301,I,MLAUMIS108,15,BELGRA,8/8/17 2:07,8/8/17 2:13,6
1722302,I,MLAUMIS108,53,BONNER,8/8/17 15:25,8/8/17 15:32,7
1722304,I,MLAUMIS108,52,BEARMT,8/8/17 14:42,8/8/17 14:46,4
1722319,I,MLAUMIS108,76,NIMROD,8/8/17 14:55,8/8/17 14:58,3
1722327,I,MLAUMIS108,73,LOUISV,8/8/17 5:04,8/8/17 5:06,2
1722332,I,MLAUMIS108,70,JENS  ,8/8/17 14:18,8/8/17 14:21,3
1723841,I,MLAUMIS109,34,TOSTON,8/10/17 0:04,8/10/17 0:10,6
1723851,I,MLAUMIS109,48,ELLIST,8/10/17 7:37,8/10/17 7:39,2
1723852,I,MLAUMIS109,56,CLRKST,8/9/17 23:27,8/9/17 23:30,3
1723854,I,MLAUMIS109,66,GREYCL,8/9/17 16:24,8/9/17 16:27,3
1723858,I,MLAUMIS109,17,MANHMT,8/9/17 21:35,8/9/17 21:35,0
1723861,I,MLAUMIS109,50,AUSTIN,8/10/17 6:35,8/10/17 6:54,19
1723867,I,MLAUMIS109,12,COLUMT,8/9/17 15:13,8/9/17 15:15,2
1723870,I,MLAUMIS109,55,CLINTN,8/10/17 11:50,8/10/17 11:53,3
1723871,I,MLAUMIS109,89,WSTEND,8/9/17 20:44,8/9/17 20:49,5
1723877,I,MLAUMIS109,16,BOZEMA,8/9/17 21:06,8/9/17 21:10,4
1723883,I,MLAUMIS109,78,RAPIDS,8/9/17 15:04,8/9/17 15:06,2
1723884,I,MLAUMIS109,40,LOGAMT,8/9/17 21:41,8/9/17 23:00,79
1723885,I,MLAUMIS109,47,BLOSSB,8/10/17 7:13,8/10/17 7:24,11
1723887,I,MLAUMIS109,76,NIMROD,8/10/17 11:33,8/10/17 11:36,3
1723897,I,MLAUMIS109,63,ELTON ,8/9/17 17:05,8/9/17 17:07,2
1723905,I,MLAUMIS109,73,LOUISV,8/10/17 1:20,8/10/17 1:22,2
1723908,I,MLAUMIS109,70,JENS  ,8/10/17 10:28,8/10/17 10:56,28
1723923,I,MLAUMIS109,75,MUIR  ,8/9/17 20:33,8/9/17 20:39,6
1723944,I,MLAUMIS109,77,QUEBEC,8/9/17 15:54,8/9/17 16:05,11
1723946,I,MLAUMIS109,13,CRAVER,8/9/17 15:24,8/9/17 15:26,2
1723950,I,MLAUMIS109,53,BONNER,8/10/17 12:04,8/10/17 12:08,4
